"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 1531.64849229278, 66.0086502107513, 1531.64849229278, 1533.07020251696, 19.7955084223982, 39.0331676720044, 19.7955084223982
2, 1517.48417696355, 57.3926760079293, 1531.64849229278, 1533.07020251696, 19.5241086016987, 38.4854431716783, 19.7955084223982
3, 1502.00525902681, 56.0983459705137, 1531.64849229278, 1533.07020251696, 19.3505650523091, 38.1504053261819, 19.7955084223982
4, 1509.0641122966, 60.3804876956247, 1531.64849229278, 1533.07020251696, 19.4857663209921, 38.423336812918, 19.7955084223982
5, 1516.13462764581, 64.6693025009473, 1531.64849229278, 1533.07020251696, 19.6221140937732, 38.6985792883898, 19.7955084223982
6, 1551.45973464483, 86.1155177695678, 1551.45973464483, 1553.84786598461, 20.3169433496184, 40.1012736676771, 20.3169433496184
7, 1590.35294026114, 109.7504213736, 1590.35294026114, 1594.13538621691, 21.1086512310652, 41.6998209186933, 21.1086512310652
8, 1558.60470551376, 90.4444350741591, 1590.35294026114, 1594.13538621691, 20.4606522870039, 40.3915644413947, 21.1086512310652
9, 1576.23115848711, 101.162432608826, 1590.35294026114, 1594.13538621691, 20.8180749176259, 41.1131317789231, 21.1086512310652
10, 1526.80177800155, 71.1317782576368, 1590.35294026114, 1594.13538621691, 19.829846417895, 39.1180538011046, 21.1086512310652
11, 1519.68521733602, 66.8208816315458, 1590.35294026114, 1594.13538621691, 19.6910023311431, 38.8376740266079, 21.1086512310652
12, 1466.70866184313, 34.6966215242899, 1590.35294026114, 1594.13538621691, 18.6885055602891, 36.8141973794472, 21.1086512310652
13, 1452.52982260681, 26.1178279601001, 1590.35294026114, 1594.13538621691, 18.4286846870185, 36.2897439843908, 21.1086512310652
14, 1431.33173090569, 13.2862268306384, 1590.35294026114, 1594.13538621691, 18.0474331194293, 35.5203600404307, 21.1086512310652
15, 1410.12820419277, 0.461252454909909, 1590.35294026114, 1594.13538621691, 17.6742905643765, 34.7674003935657, 21.1086512310652
16, 1410.10642804386, 0.452764840857755, 1590.35294026114, 1594.13538621691, 17.6738118033489, 34.766397460988, 21.1086512310652
17, 1512.60329329724, 62.5263817414972, 1590.35294026114, 1594.13538621691, 19.553911523348, 38.5609032118525, 21.1086512310652
18, 1692.97991099187, 172.367347316231, 1692.97991099187, 1701.7319064538, 23.3324268352239, 46.191400443017, 23.3324268352239
19, 1657.64506556021, 150.814393826075, 1692.97991099187, 1701.7319064538, 22.5452509281009, 44.6014768264701, 23.3324268352239
20, 1625.80459446275, 131.420550271058, 1692.97991099187, 1701.7319064538, 21.8554599140267, 43.2083321365161, 23.3324268352239
21, 1572.78252697712, 99.1606094177751, 1692.97991099187, 1701.7319064538, 20.7484573849349, 40.9729500208324, 23.3324268352239
22, 1509.151911697, 60.5199305935518, 1692.97991099187, 1701.7319064538, 19.4882013912408, 38.428601990873, 23.3324268352239
23, 1410.10316682691, 0.451491313735336, 1692.97991099187, 1701.7319064538, 17.673728468595, 34.7662090462785, 23.3324268352239
24, 1307.64721445225, -61.3993051318919, 1692.97991099187, 1701.7319064538, 15.9868003618003, 31.3632997085576, 23.3324268352239
25, 1247.65678424883, -97.5325697694891, 1692.97991099187, 1701.7319064538, 15.0881889679705, 29.5514463680642, 23.3324268352239
26, 1215.85421763316, -116.65096971318, 1692.97991099187, 1701.7319064538, 14.6382319880568, 28.6444145552453, 23.3324268352239
27, 1198.18935586345, -127.262200157815, 1692.97991099187, 1701.7319064538, 14.3962641565096, 28.1567384628272, 23.3324268352239
28, 1208.75987651968, -120.906696292419, 1692.97991099187, 1701.7319064538, 14.5402531726965, 28.4468938253175, 23.3324268352239
29, 1215.82424240023, -116.662155058901, 1692.97991099187, 1701.7319064538, 14.6376891752044, 28.6432765817402, 23.3324268352239
30, 1275.81480979595, -80.56647865072, 1692.97991099187, 1701.7319064538, 15.5014841905796, 30.3845625845784, 23.3324268352239
31, 1388.9022179421, -12.3634996833155, 1692.97991099187, 1701.7319064538, 17.308953184142, 34.0302620714882, 23.3324268352239
32, 1424.21186150775, 8.98715268896292, 1692.97991099187, 1701.7319064538, 17.9210582754231, 35.2652885638015, 23.3324268352239
33, 1473.6792316088, 38.9341194974726, 1692.97991099187, 1701.7319064538, 18.8171239108206, 37.0736458682352, 23.3324268352239
34, 1551.50226819102, 86.1355541430498, 1692.97991099187, 1701.7319064538, 20.3179431102203, 40.1033384804396, 23.3324268352239
35, 1590.35101322475, 109.750403479722, 1692.97991099187, 1701.7319064538, 21.1086009933834, 41.6997164625674, 23.3324268352239
36, 1611.6188677316, 122.793477737234, 1692.97991099187, 1701.7319064538, 21.5540008633554, 42.5994850162129, 23.3324268352239
37, 1590.42084945681, 109.894378616912, 1692.97991099187, 1701.7319064538, 21.1107917478004, 41.7045046379624, 23.3324268352239
38, 1562.13921184811, 92.7012546017614, 1692.97991099187, 1701.7319064538, 20.5322866018648, 40.5364082156423, 23.3324268352239
39, 1540.9152893591, 79.8115165967751, 1692.97991099187, 1701.7319064538, 20.1077468097243, 39.6792426846024, 23.3324268352239
40, 1555.01607681972, 88.3835441992961, 1692.97991099187, 1701.7319064538, 20.3886452186297, 40.2462906269355, 23.3324268352239
