ClickOn
Xlabel, "X"
Ylabel, "Y"
TxtAlign, 1
KeyClass, 1
ChartCaption, "Device Locations / Power"
Line, "Line.l115", "149", "1", 0, 6,  1, 91, 2.4017771, 0, 300, 1500, 700, 1500, 12954659, 7, 0, 0, 0, 0, 16, 1
Line, "Line.l1", "1.2", "2.2", 192, 2,  1, 1, 2.4017771, 0.4, 700, 1500, 700, 1675, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l2", "1.3", "3.3", 256, 2,  0, 3, 2.4017771, 0.4, 700, 1500, 700, 1250, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l3", "1.1.2.3", "7.1.2.3", 320, 6,  1, 86, 2.4017771, 0.4, 700, 1500, 1000, 1500, 12954659, 7, 0, 0, 0, 0, 16, 1
Line, "Line.l4", "3.3", "4.3", 512, 2,  1, 1, 2.4017771, 0.65, 700, 1250, 700, 1050, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l5", "3.3", "5.3", 576, 2,  1, 2, 2.4017771, 0.65, 700, 1250, 1025, 1250, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l6", "5.3", "6.3", 640, 2,  1, 1, 2.4017771, 0.975, 1025, 1250, 1275, 1150, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l7", "7.1.2.3", "8.1.2.3", 704, 6,  0, 85, 2.4017771, 0.7, 1000, 1500, 1200, 1500, 12954659, 7, 0, 0, 0, 0, 16, 1
Line, "Line.l8", "8.2", "12.2", 896, 2,  1, 1, 2.4017771, 0.9, 1200, 1500, 1200, 1275, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l9", "8.1", "9.1", 960, 2,  1, 3, 2.4017771, 0.9, 1200, 1500, 1200, 1725, 12954659, 1, 0, 0, 0, 0, 16, 1
Line, "Line.l10", "8.1.2.3", "13.1.2.3", 1024, 6,  0, 81, 2.4017771, 0.9, 1200, 1500, 1500, 1500, 12954659, 7, 0, 0, 0, 0, 16, 1
Line, "Line.l11", "9r.1", "14.1", 1216, 2,  0, 2, 2.4017771, 1.125, 1200, 1725, 1200, 2150, 12954659, 1, 0, 0, 0, 0, 16, 1
